[2017-07-14 17:00:36.470] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /readrerecord/list?company=2&areaId=&villageId=&buildId=&unitId=&doorplate=&jid=&cid=&id=&valve=&state=&userid=&username=&sEcho=14&recordStart=0&pageSize=10&sortName=operat_time&sortType=desc 200 
[2017-07-14 17:00:36.737] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /readrerecord/list?company=2&areaId=&villageId=&buildId=&unitId=&doorplate=&jid=&cid=&id=&valve=&state=&userid=&username=&sEcho=15&recordStart=0&pageSize=10&sortName=operat_time&sortType=asc 200 
[2017-07-14 17:00:36.894] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /readrerecord/list?company=2&areaId=&villageId=&buildId=&unitId=&doorplate=&jid=&cid=&id=&valve=&state=&userid=&username=&sEcho=16&recordStart=0&pageSize=10&sortName=operat_time&sortType=desc 200 
[2017-07-14 17:00:37.083] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /readrerecord/list?company=2&areaId=&villageId=&buildId=&unitId=&doorplate=&jid=&cid=&id=&valve=&state=&userid=&username=&sEcho=17&recordStart=0&pageSize=10&sortName=operat_time&sortType=asc 200 
[2017-07-14 17:00:37.265] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /readrerecord/list?company=2&areaId=&villageId=&buildId=&unitId=&doorplate=&jid=&cid=&id=&valve=&state=&userid=&username=&sEcho=18&recordStart=0&pageSize=10&sortName=operat_time&sortType=desc 200 
[2017-07-14 17:00:37.435] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /readrerecord/list?company=2&areaId=&villageId=&buildId=&unitId=&doorplate=&jid=&cid=&id=&valve=&state=&userid=&username=&sEcho=19&recordStart=0&pageSize=10&sortName=operat_time&sortType=asc 200 
[2017-07-14 17:00:37.614] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /readrerecord/list?company=2&areaId=&villageId=&buildId=&unitId=&doorplate=&jid=&cid=&id=&valve=&state=&userid=&username=&sEcho=20&recordStart=0&pageSize=10&sortName=operat_time&sortType=desc 200 
[2017-07-14 17:01:41.839] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /readrerecord/list?company=2&areaId=&villageId=&buildId=&unitId=&doorplate=&jid=&cid=&id=&valve=&state=&userid=&username=&sEcho=21&recordStart=0&pageSize=10&sortName=operat_time&sortType=asc 200 
[2017-07-14 17:01:42.687] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /readrerecord/list?company=2&areaId=&villageId=&buildId=&unitId=&doorplate=&jid=&cid=&id=&valve=&state=&userid=&username=&sEcho=22&recordStart=0&pageSize=10&sortName=operat_time&sortType=desc 200 
[2017-07-14 17:01:43.705] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /readrerecord/list?company=2&areaId=&villageId=&buildId=&unitId=&doorplate=&jid=&cid=&id=&valve=&state=&userid=&username=&sEcho=23&recordStart=0&pageSize=10&sortName=operat_time&sortType=desc 200 
[2017-07-14 17:01:45.205] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /readrerecord/list?company=2&areaId=&villageId=&buildId=&unitId=&doorplate=&jid=&cid=&id=&valve=&state=&userid=&username=&sEcho=24&recordStart=0&pageSize=10&sortName=operat_time&sortType=desc 200 
[2017-07-14 17:01:46.484] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /reading_record 304 
[2017-07-14 17:01:46.496] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/table-ajax.js?_=1500021387743 200 
[2017-07-14 17:01:46.504] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/Backstage/reading_record.js?_=1500021387744 200 
[2017-07-14 17:01:46.726] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /readrerecord/list?company=2&areaId=&villageId=&buildId=&unitId=&doorplate=&jid=&cid=&id=&valve=&state=&userid=&username=&sEcho=1&recordStart=0&pageSize=10&sortName=userid&sortType=asc 304 
[2017-07-14 17:01:51.738] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /readrerecord/list?company=2&areaId=&villageId=&buildId=&unitId=&doorplate=&jid=&cid=&id=&valve=&state=&userid=&username=&sEcho=2&recordStart=0&pageSize=10&sortName=valve&sortType=asc 200 
[2017-07-14 17:01:53.374] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /readrerecord/list?company=2&areaId=&villageId=&buildId=&unitId=&doorplate=&jid=&cid=&id=&valve=&state=&userid=&username=&sEcho=3&recordStart=0&pageSize=10&sortName=valve&sortType=desc 200 
[2017-07-14 17:01:55.696] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /readrerecord/list?company=2&areaId=&villageId=&buildId=&unitId=&doorplate=&jid=&cid=&id=&valve=&state=&userid=&username=&sEcho=4&recordStart=0&pageSize=10&sortName=reading1&sortType=asc 200 
[2017-07-14 17:01:56.545] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /readrerecord/list?company=2&areaId=&villageId=&buildId=&unitId=&doorplate=&jid=&cid=&id=&valve=&state=&userid=&username=&sEcho=5&recordStart=0&pageSize=10&sortName=reading1&sortType=desc 200 
[2017-07-14 17:01:58.739] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /readrerecord/list?company=2&areaId=&villageId=&buildId=&unitId=&doorplate=&jid=&cid=&id=&valve=&state=&userid=&username=&sEcho=6&recordStart=0&pageSize=10&sortName=operat_time&sortType=asc 200 
[2017-07-14 17:01:59.706] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /readrerecord/list?company=2&areaId=&villageId=&buildId=&unitId=&doorplate=&jid=&cid=&id=&valve=&state=&userid=&username=&sEcho=7&recordStart=0&pageSize=10&sortName=operat_time&sortType=desc 200 
[2017-07-14 17:02:50.634] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /reading_record 304 
[2017-07-14 17:02:50.644] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/table-ajax.js?_=1500021387751 200 
[2017-07-14 17:02:50.652] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/Backstage/reading_record.js?_=1500021387752 200 
[2017-07-14 17:02:50.871] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /readrerecord/list?company=2&areaId=&villageId=&buildId=&unitId=&doorplate=&jid=&cid=&id=&valve=&state=&userid=&username=&sEcho=1&recordStart=0&pageSize=10&sortName=userid&sortType=asc 304 
[2017-07-14 17:12:25.461] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /meter_reading?aid=1001&vid=1000001&cid=1 304 
[2017-07-14 17:12:25.478] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/table-ajax.js?_=1500021387759 200 
[2017-07-14 17:12:25.484] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/Backstage/meter_reading.js?_=1500021387760 200 
[2017-07-14 17:12:25.613] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /collector/list?company=2&areaId=1001&villageId=1000001&id=&location=&sEcho=1&recordStart=0&pageSize=10&sortName=seq_no&sortType=asc 304 
[2017-07-14 17:13:18.552] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /meter_status 200 
[2017-07-14 17:13:18.561] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/table-ajax.js?_=1500021387764 200 
[2017-07-14 17:13:18.567] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/Backstage/meter_status.js?_=1500021387765 200 
[2017-07-14 17:13:19.092] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /watermeter/list?company=2&areaId=&villageId=&buildId=&unitId=&doorplate=&jid=&cid=&id=&valve=&state=&userid=&username=&sEcho=1&recordStart=0&pageSize=10&sortName=userid&sortType=asc 200 
[2017-07-14 17:28:35.757] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /reading_record 200 
[2017-07-14 17:28:35.763] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/table-ajax.js?_=1500021387772 200 
[2017-07-14 17:28:35.768] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/Backstage/reading_record.js?_=1500021387773 200 
[2017-07-14 17:28:35.963] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /readrerecord/list?company=2&areaId=&villageId=&buildId=&unitId=&doorplate=&jid=&cid=&id=&valve=&state=&userid=&username=&sEcho=1&recordStart=0&pageSize=10&sortName=seq_no&sortType=asc 200 
[2017-07-14 17:28:50.838] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /reading_record 304 
[2017-07-14 17:28:50.846] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/table-ajax.js?_=1500021387780 200 
[2017-07-14 17:28:50.849] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/Backstage/reading_record.js?_=1500021387781 200 
[2017-07-14 17:28:51.033] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /readrerecord/list?company=2&areaId=&villageId=&buildId=&unitId=&doorplate=&jid=&cid=&id=&valve=&state=&userid=&username=&sEcho=1&recordStart=0&pageSize=10&sortName=seq_no&sortType=asc 304 
[2017-07-14 17:30:42.900] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /reading_record 304 
[2017-07-14 17:30:42.909] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/table-ajax.js?_=1500021387788 200 
[2017-07-14 17:30:42.914] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/Backstage/reading_record.js?_=1500021387789 200 
