[2017-08-02 15:04:04.727] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery-ui/spinner.js 304 
[2017-08-02 15:04:04.732] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/zTree/jquery.ztree.core.min.js 304 
[2017-08-02 15:04:04.732] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/bxslider/jquery.bxslider.min.js 304 
[2017-08-02 15:04:04.733] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/select2/select2.min.js 304 
[2017-08-02 15:04:04.741] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery.dataTables/js/jquery.dataTables.min.js 304 
[2017-08-02 15:04:04.751] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/bootstrap-datepicker/bootstrap-datepicker.js 304 
[2017-08-02 15:04:04.752] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/bootstrap-datepicker/locales/bootstrap-datepicker.zh-CN.js 304 
[2017-08-02 15:04:04.760] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/bootstrap-datepicker/bootstrap-datetimepicker.js 304 
[2017-08-02 15:04:04.760] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/bootstrap-datepicker/locales/bootstrap-datetimepicker.zh-TW.js 304 
[2017-08-02 15:04:04.760] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/moment/moment.min.js 304 
[2017-08-02 15:04:04.767] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /fonts/fontawesome-webfont.woff?v=4.5.0 304 
[2017-08-02 15:04:04.776] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/index_title_lift.jpg 304 
[2017-08-02 15:04:04.777] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/index_title_right.jpg 304 
[2017-08-02 15:04:04.786] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/admin.png 304 
[2017-08-02 15:04:04.786] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/ajax-loader.gif 304 
[2017-08-02 15:04:04.797] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/dookaycalendar/calendar.style-1.js 304 
[2017-08-02 15:04:04.797] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/dookaycalendar/calendar.style-2.js 304 
[2017-08-02 15:04:04.805] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery.validate.min.js 304 
[2017-08-02 15:04:04.805] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/dookaycity/jquery.dookaycity.js 304 
[2017-08-02 15:04:04.814] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/dookaycity/city.js 304 
[2017-08-02 15:04:04.815] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/validate/jquery.validator.js 304 
[2017-08-02 15:04:04.824] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/validate/zh_CN.js 304 
[2017-08-02 15:04:04.824] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/page.js 304 
[2017-08-02 15:04:04.829] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/index.js 304 
[2017-08-02 15:04:04.829] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/bootstrap.min.js 304 
[2017-08-02 15:04:04.871] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /menu/list?seqNo=1000&sysType=1 304 
[2017-08-02 15:04:04.897] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/icon-aside.png 304 
[2017-08-02 15:04:04.999] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /home 304 
[2017-08-02 15:04:05.009] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/backstage/home.js?_=1501657444687 200 
[2017-08-02 15:04:05.067] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /watermeter/list?company=9999&areaId=&recordStart=0&pageSize=1 304 
[2017-08-02 15:04:05.103] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /area/list?state=1&p_id=9999 304 
[2017-08-02 15:04:05.136] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /water/total?company=9999 304 
[2017-08-02 15:04:06.366] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /file_management 304 
[2017-08-02 15:04:07.800] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/close.png 304 
[2017-08-02 15:12:52.803] [INFO] logInfo - undefined -  GET /file_management 200 
[2017-08-02 15:12:57.281] [INFO] logInfo - ::ffff:127.0.0.1 -  GET / 302 
[2017-08-02 15:12:57.288] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /choice 304 
[2017-08-02 15:12:57.308] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/depei.css 304 
[2017-08-02 15:12:57.309] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery-2.1.4.min.js 304 
[2017-08-02 15:12:57.309] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/imgValidate.js 304 
[2017-08-02 15:12:57.312] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/imgValidate.css 304 
[2017-08-02 15:12:57.317] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login_b1.png 304 
[2017-08-02 15:12:57.322] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login_b2.png 304 
[2017-08-02 15:12:57.329] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login_b3.png 304 
[2017-08-02 15:13:00.409] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /menu/list?seqNo=1000 304 
[2017-08-02 15:13:00.419] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login.jpg 304 
[2017-08-02 15:13:04.830] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /index?type=1 304 
