[2017-07-31 05:03:59.036] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery-ui/button.js 304 
[2017-07-31 05:03:59.041] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery-ui/mouse.js 304 
[2017-07-31 05:03:59.045] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery-ui/draggable.js 304 
[2017-07-31 05:03:59.051] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery-ui/spinner.js 304 
[2017-07-31 05:03:59.055] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/zTree/jquery.ztree.core.min.js 304 
[2017-07-31 05:03:59.060] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/bxslider/jquery.bxslider.min.js 304 
[2017-07-31 05:03:59.065] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/select2/select2.min.js 304 
[2017-07-31 05:03:59.071] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery.dataTables/js/jquery.dataTables.min.js 304 
[2017-07-31 05:03:59.091] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/bootstrap-datepicker/bootstrap-datepicker.js 304 
[2017-07-31 05:03:59.091] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/bootstrap-datepicker/locales/bootstrap-datepicker.zh-CN.js 304 
[2017-07-31 05:03:59.091] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/bootstrap-datepicker/bootstrap-datetimepicker.js 304 
[2017-07-31 05:03:59.091] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/bootstrap-datepicker/locales/bootstrap-datetimepicker.zh-TW.js 304 
[2017-07-31 05:03:59.091] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/moment/moment.min.js 304 
[2017-07-31 05:03:59.095] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/dookaycalendar/calendar.style-1.js 304 
[2017-07-31 05:03:59.100] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/dookaycalendar/calendar.style-2.js 304 
[2017-07-31 05:03:59.109] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery.validate.min.js 304 
[2017-07-31 05:03:59.117] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/dookaycity/jquery.dookaycity.js 304 
[2017-07-31 05:03:59.117] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/dookaycity/city.js 304 
[2017-07-31 05:03:59.117] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/validate/jquery.validator.js 304 
[2017-07-31 05:03:59.117] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/validate/zh_CN.js 304 
[2017-07-31 05:03:59.121] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/page.js 304 
[2017-07-31 05:03:59.128] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/index.js 304 
[2017-07-31 05:03:59.132] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/bootstrap.min.js 304 
[2017-07-31 05:03:59.132] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/ajax-loader.gif 304 
[2017-07-31 05:03:59.143] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/index_title_lift.jpg 304 
[2017-07-31 05:03:59.144] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/index_title_right.jpg 304 
[2017-07-31 05:03:59.145] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/admin.png 304 
[2017-07-31 05:03:59.254] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /menu/list?seqNo=1002&sysType=2 304 
[2017-07-31 05:03:59.298] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /getAreaMenu204/list?p_id=2&seqNo=1001 304 
[2017-07-31 05:03:59.329] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/icon-aside.png 304 
[2017-07-31 05:03:59.427] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /home 304 
[2017-07-31 05:03:59.441] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/backstage/home.js?_=1501448639020 200 
[2017-07-31 05:04:01.333] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /meter_reading?aid=1001 304 
[2017-07-31 05:04:01.342] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/table-ajax.js?_=1501448639021 200 
[2017-07-31 05:04:01.348] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/Backstage/meter_reading.js?_=1501448639022 200 
[2017-07-31 05:04:01.366] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/sousuo.png 304 
[2017-07-31 05:04:01.481] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /collector/list?company=2&areaId=1001&villageId=&id=&location=&sEcho=1&recordStart=0&pageSize=10&sortName=seq_no&sortType=desc 304 
[2017-07-31 05:04:09.507] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /readinglist?seqlist=10021%2C 200 
[2017-07-31 05:04:09.523] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /console?seqlist=10021, 200 
[2017-07-31 05:04:09.535] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/Backstage/console.js?_=1501448639028 200 
[2017-07-31 05:05:02.611] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /console?seqlist=10021, 304 
[2017-07-31 05:05:02.618] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/Backstage/console.js?_=1501448639030 200 
[2017-07-31 05:06:13.932] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /console?seqlist=10021, 304 
[2017-07-31 05:06:13.942] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/Backstage/console.js?_=1501448639032 200 
[2017-07-31 05:06:33.532] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /console?seqlist=10021, 304 
[2017-07-31 05:06:33.540] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/Backstage/console.js?_=1501448639034 200 
[2017-07-31 05:08:42.787] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /index?type=2 304 
[2017-07-31 05:08:42.805] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/index.css 304 
[2017-07-31 05:08:42.821] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/skins/_all-skins.css 304 
[2017-07-31 05:08:42.821] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/depei.css 304 
[2017-07-31 05:08:42.821] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/font-awesome.min.css 304 
[2017-07-31 05:08:42.828] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/select2/select2.min.css 304 
[2017-07-31 05:08:42.828] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery-ui/css/jquery-ui.min.css 304 
[2017-07-31 05:08:42.828] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/zTree/css/zTreeStyle.css 304 
[2017-07-31 05:08:42.834] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/bxslider/jquery.bxslider.css 304 
[2017-07-31 05:08:42.844] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/bootstrap-datepicker/datepicker.css 304 
[2017-07-31 05:08:42.844] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/common.css 304 
[2017-07-31 05:08:42.851] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/bootstrap/css/bootstrap.min.css 304 
[2017-07-31 05:08:42.851] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/bootstrap-datetimepicker.min.css 304 
[2017-07-31 05:08:42.851] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/fullcalendar/fullcalendar.min.css 304 
[2017-07-31 05:08:42.856] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/dookaycity/jquery.dookaycity.css 304 
[2017-07-31 05:08:42.862] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/page.css 304 
[2017-07-31 05:08:42.862] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/zhangfan.css 304 
[2017-07-31 05:08:42.869] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/tourism.css 304 
[2017-07-31 05:08:42.869] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/jigang.css 304 
[2017-07-31 05:08:42.869] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/yinqichao.css 304 
[2017-07-31 05:08:42.876] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/validate/css/jquery.validator.css 304 
