[2017-07-27 11:00:48.232] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/moment/moment.min.js 304 
[2017-07-27 11:00:48.232] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/dookaycalendar/calendar.style-1.js 304 
[2017-07-27 11:00:48.236] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /fonts/fontawesome-webfont.woff?v=4.5.0 304 
[2017-07-27 11:00:48.249] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/index_title_lift.jpg 500 
[2017-07-27 11:00:48.249] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/index_title_right.jpg 500 
[2017-07-27 11:00:48.257] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/admin.png 500 
[2017-07-27 11:00:48.257] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/ajax-loader.gif 500 
[2017-07-27 11:00:48.257] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/dookaycalendar/calendar.style-2.js 304 
[2017-07-27 11:00:48.264] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery.validate.min.js 304 
[2017-07-27 11:00:48.268] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/dookaycity/jquery.dookaycity.js 304 
[2017-07-27 11:00:48.268] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/dookaycity/city.js 304 
[2017-07-27 11:00:48.273] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/validate/jquery.validator.js 304 
[2017-07-27 11:00:48.273] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/validate/zh_CN.js 304 
[2017-07-27 11:00:48.278] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/page.js 304 
[2017-07-27 11:00:48.279] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/index.js 304 
[2017-07-27 11:00:48.281] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/bootstrap.min.js 304 
[2017-07-27 11:00:48.318] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /menu/list?seqNo=1000&sysType=1 304 
[2017-07-27 11:00:48.341] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/icon-aside.png 500 
[2017-07-27 11:00:48.440] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /home 304 
[2017-07-27 11:00:48.449] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/backstage/home.js?_=1501124448168 200 
[2017-07-27 11:00:50.661] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /choice 304 
[2017-07-27 11:00:50.681] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/depei.css 304 
[2017-07-27 11:00:50.682] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery-2.1.4.min.js 304 
[2017-07-27 11:00:50.682] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/imgValidate.js 304 
[2017-07-27 11:00:50.683] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/imgValidate.css 304 
[2017-07-27 11:00:50.688] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login_b1.png 500 
[2017-07-27 11:00:50.697] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login_b2.png 500 
[2017-07-27 11:00:50.706] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login_b3.png 500 
[2017-07-27 11:00:50.737] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /menu/list?seqNo=1000 304 
[2017-07-27 11:00:50.745] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login.jpg 500 
[2017-07-27 11:00:53.544] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /choice 304 
[2017-07-27 11:00:53.564] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/depei.css 304 
[2017-07-27 11:00:53.564] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery-2.1.4.min.js 304 
[2017-07-27 11:00:53.564] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/imgValidate.js 304 
[2017-07-27 11:00:53.567] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/imgValidate.css 304 
[2017-07-27 11:00:53.587] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login_b1.png 500 
[2017-07-27 11:00:53.587] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login_b2.png 500 
[2017-07-27 11:00:53.587] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login_b3.png 500 
[2017-07-27 11:00:53.617] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /menu/list?seqNo=1000 304 
[2017-07-27 11:00:53.627] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login.jpg 500 
[2017-07-27 11:00:54.263] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /choice 304 
[2017-07-27 11:00:54.281] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/depei.css 304 
[2017-07-27 11:00:54.281] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery-2.1.4.min.js 304 
[2017-07-27 11:00:54.284] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/imgValidate.js 304 
[2017-07-27 11:00:54.284] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/imgValidate.css 304 
[2017-07-27 11:00:54.289] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login_b1.png 500 
[2017-07-27 11:00:54.304] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login_b2.png 500 
[2017-07-27 11:00:54.305] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login_b3.png 500 
[2017-07-27 11:00:54.336] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /menu/list?seqNo=1000 304 
[2017-07-27 11:00:54.342] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login.jpg 500 
[2017-07-27 11:00:54.745] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /choice 304 
[2017-07-27 11:00:54.761] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/depei.css 304 
[2017-07-27 11:00:54.762] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery-2.1.4.min.js 304 
[2017-07-27 11:00:54.765] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/imgValidate.js 304 
[2017-07-27 11:00:54.765] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/imgValidate.css 304 
[2017-07-27 11:00:54.770] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login_b1.png 500 
[2017-07-27 11:00:54.775] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login_b2.png 500 
[2017-07-27 11:00:54.780] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login_b3.png 500 
[2017-07-27 11:00:54.807] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /menu/list?seqNo=1000 304 
[2017-07-27 11:00:54.814] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login.jpg 500 
[2017-07-27 11:00:54.963] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /choice 304 
[2017-07-27 11:00:54.976] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/depei.css 304 
[2017-07-27 11:00:54.977] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery-2.1.4.min.js 304 
