[2017-07-13 13:09:35.762] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/tourism.css 304 
[2017-07-13 13:09:35.762] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/jigang.css 304 
[2017-07-13 13:09:35.767] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/yinqichao.css 304 
[2017-07-13 13:09:35.767] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/validate/css/jquery.validator.css 304 
[2017-07-13 13:09:35.767] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/validate/css/validate.css 304 
[2017-07-13 13:09:35.767] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/uploadify/uploadify.css 304 
[2017-07-13 13:10:16.681] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /meter_reading?aid=1001&vid=1000001&bid=1002 200 
[2017-07-13 13:10:16.690] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/table-ajax.js?_=1499921059500 200 
[2017-07-13 13:10:16.696] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/Backstage/meter_reading.js?_=1499921059501 200 
[2017-07-13 13:10:16.825] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /watermeter/list?company=2&areaId=1001&villageId=1000001&cid=&location=&sEcho=1&recordStart=0&pageSize=10&sortName=seq_no&sortType=asc 304 
[2017-07-13 13:16:27.661] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /meter_reading?aid=1001&vid=1000001&bid=1002 500 
[2017-07-13 13:17:46.605] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /index 302 
[2017-07-13 13:17:46.628] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /login 200 
[2017-07-13 13:17:46.657] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/depei.css 304 
[2017-07-13 13:17:46.657] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/imgValidate.css 304 
[2017-07-13 13:17:46.657] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery-2.1.4.min.js 304 
[2017-07-13 13:17:46.660] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/imgValidate.js 304 
[2017-07-13 13:17:46.672] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login_b1.png 304 
[2017-07-13 13:17:46.678] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login_b2.png 304 
[2017-07-13 13:17:46.683] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login_b3.png 304 
[2017-07-13 13:17:46.697] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/login.jpg 304 
[2017-07-13 13:17:47.914] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /login2 304 
[2017-07-13 13:17:47.937] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/depei.css 304 
[2017-07-13 13:17:47.937] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery-2.1.4.min.js 304 
[2017-07-13 13:17:47.940] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/imgValidate.js 304 
[2017-07-13 13:17:47.940] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/imgValidate.css 304 
[2017-07-13 13:17:47.971] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/background.jpg 304 
[2017-07-13 13:17:51.488] [INFO] logInfo - ::ffff:127.0.0.1 -  POST /login 302 
[2017-07-13 13:17:51.727] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /index 200 
[2017-07-13 13:17:51.745] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/index.css 304 
[2017-07-13 13:17:51.754] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/skins/_all-skins.css 304 
[2017-07-13 13:17:51.773] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/depei.css 304 
